北京爱数智慧语音采集我们聊的第一个话题是娱乐  (G0004_S0001_0_SPK001-26.048-31.870.wav)
 and呃除了烤鱼 and hotport火锅  (G0005_S0001_0_SPK004-494.060-498.756.wav)
还有呃牛肉ff noodles你还喜欢吃什么呢  (G0005_S0001_0_SPK004-498.839-503.135.wav)
嗯  (G0005_S0001_0_SPK004-509.091-509.680.wav)
给奖  (G0005_S0001_0_SPK004-512.510-513.159.wav)
 yes  (G0005_S0001_0_SPK004-515.900-516.580.wav)
非常的纯厚  (G0005_S0001_0_SPK004-523.580-524.740.wav)
嗯  (G0005_S0001_0_SPK004-525.230-525.760.wav)
 yes make make you feel in a fool  (G0005_S0001_0_SPK004-529.580-532.330.wav)
富有  (G0005_S0001_0_SPK004-533.780-534.970.wav)
嗯你的胃就被批他彻底填饱了 you stomach is full  (G0005_S0001_0_SPK004-535.430-539.694.wav)
 food by  (G0005_S0001_0_SPK004-540.247-541.630.wav)
 the披萨  (G0005_S0001_0_SPK004-542.210-543.040.wav)
就是非常顶饱啊披萨  (G0005_S0001_0_SPK004-546.290-548.470.wav)
嗯  (G0005_S0001_0_SPK004-550.160-550.690.wav)
嗯  (G0005_S0001_0_SPK004-556.460-557.020.wav)
 you just need呃 half  (G0005_S0001_0_SPK004-557.690-559.990.wav)
 ok  (G0005_S0001_0_SPK004-561.507-562.030.wav)
或者是 a few pieces  (G0005_S0001_0_SPK004-562.790-564.970.wav)
 a little pieces few pieces of披萨  (G0005_S0001_0_SPK004-565.280-568.032.wav)
 yeah you are right  (G0005_S0001_0_SPK004-570.740-572.170.wav)
嗯馒头  (G0005_S0001_0_SPK004-575.930-577.450.wav)
嗯  (G0005_S0001_0_SPK004-579.770-580.270.wav)
 like chinese肉夹馍 or something用的揪菜盒子  (G0005_S0001_0_SPK004-581.690-585.700.wav)
 yes锅盔  (G0005_S0001_0_SPK004-588.897-590.380.wav)
 yes  (G0005_S0001_0_SPK004-591.110-591.730.wav)
 and peter萨 you know呃  (G0005_S0001_0_SPK004-592.610-594.282.wav)
呃披萨上面会放一些呃比方说培根啊 bacon  (G0005_S0001_0_SPK004-594.650-600.250.wav)
 and  (G0005_S0001_0_SPK004-601.070-601.930.wav)
呃 some some some some pinepples菠萝啊  (G0005_S0001_0_SPK004-602.150-606.351.wav)
 let summer  (G0005_S0001_0_SPK004-607.250-608.470.wav)
 some carry樱桃  (G0005_S0001_0_SPK004-609.020-610.540.wav)
 yes  (G0005_S0001_0_SPK004-615.080-616.000.wav)
一小块儿的那种 chicken哈  (G0005_S0001_0_SPK004-617.900-620.110.wav)
对  (G0005_S0001_0_SPK004-620.750-621.250.wav)
也是不雷当的  (G0005_S0001_0_SPK004-625.340-626.650.wav)
呃 the top of披萨  (G0005_S0001_0_SPK004-627.530-629.290.wav)
嗯 yes and many chess起事教  (G0005_S0001_0_SPK004-630.350-634.180.wav)
那你  (G0005_S0001_0_SPK004-634.400-635.230.wav)
 yes you know taste very钱 sweet  (G0005_S0001_0_SPK004-636.740-640.550.wav)
 and嗯也 very very very香 s smilell smilell very good  (G0005_S0001_0_SPK004-641.330-647.320.wav)
 i love i also love peter  (G0005_S0001_0_SPK004-648.320-649.990.wav)
 very much  (G0005_S0001_0_SPK004-650.660-651.520.wav)
 yes  (G0005_S0001_0_SPK004-652.340-652.990.wav)
 so delicious  (G0005_S0001_0_SPK004-654.230-655.300.wav)
嗯  (G0005_S0001_0_SPK004-656.000-656.560.wav)
嗯  (G0005_S0001_0_SPK004-663.830-664.217.wav)
嗯  (G0005_S0001_0_SPK004-665.870-666.460.wav)
是的  (G0005_S0001_0_SPK004-669.680-670.450.wav)
嗯 our choice  (G0005_S0001_0_SPK004-671.180-672.430.wav)
 a different yes  (G0005_S0001_0_SPK004-674.941-676.480.wav)
嗯  (G0005_S0001_0_SPK004-680.060-680.590.wav)
 yes  (G0005_S0001_0_SPK004-683.270-684.070.wav)
 you know呃 in different mood在不同的心情下然后你可以吃不同的食物  (G0005_S0001_0_SPK004-684.380-689.470.wav)
呃 different food  (G0005_S0001_0_SPK004-689.900-692.080.wav)
呃  (G0005_S0001_0_SPK004-692.502-693.256.wav)
嗯  (G0005_S0001_0_SPK004-693.860-694.450.wav)
 and you know呃 eating those delicious food吃了一些很好吃的食物仍然可以帮你缓解心情  (G0005_S0001_0_SPK004-694.761-702.370.wav)
 they can make you feel better  (G0005_S0001_0_SPK004-702.890-704.597.wav)
嗯  (G0005_S0001_0_SPK004-706.430-707.037.wav)
嗯  (G0005_S0001_0_SPK004-712.220-712.720.wav)
嗯  (G0005_S0001_0_SPK004-716.630-717.190.wav)
嗯  (G0005_S0001_0_SPK004-718.670-719.171.wav)
来  (G0005_S0001_0_SPK004-719.540-720.040.wav)
 vegetable soup  (G0005_S0001_0_SPK004-722.870-723.944.wav)
 e s some sadwayes  (G0005_S0001_0_SPK004-726.530-728.410.wav)
哎售普  (G0005_S0001_0_SPK004-729.020-729.902.wav)
嗯就就是那些清淡的食物  (G0005_S0001_0_SPK004-730.490-732.730.wav)
对  (G0005_S0001_0_SPK004-733.940-734.530.wav)
是吧  (G0005_S0001_0_SPK004-734.961-735.550.wav)
嗯  (G0005_S0001_0_SPK004-737.480-738.070.wav)
嗯  (G0005_S0001_0_SPK004-740.330-740.950.wav)
开水白菜  (G0005_S0001_0_SPK004-741.960-743.200.wav)
 yes  (G0005_S0001_0_SPK004-744.440-745.210.wav)
呃 ca水 how to see that呃 like borrow water呃  (G0005_S0001_0_SPK004-745.520-750.610.wav)
呃  (G0005_S0001_0_SPK004-750.920-751.570.wav)
呃白菜  (G0005_S0001_0_SPK004-751.910-753.062.wav)
呃 yes  (G0005_S0001_0_SPK004-757.940-759.310.wav)
 at ve vegetables名词白菜  (G0005_S0001_0_SPK004-760.160-762.670.wav)
嗯  (G0005_S0001_0_SPK004-771.290-771.820.wav)
 yes yes开水白菜 is so famous  (G0005_S0001_0_SPK004-773.180-776.251.wav)
嗯 many foreigners many你外国人呃都知道开水白菜 no it's very famousmers  (G0005_S0001_0_SPK004-777.920-784.450.wav)
 yeah sorry  (G0005_S0001_0_SPK004-787.070-787.990.wav)
嗯  (G0005_S0001_0_SPK004-791.240-791.800.wav)
 carry  (G0005_S0001_0_SPK004-795.860-796.570.wav)
 yes  (G0005_S0001_0_SPK004-796.820-797.380.wav)
啊 i like湖南 food as well  (G0005_S0001_0_SPK004-798.271-801.640.wav)
哎 i love湖南  (G0005_S0001_0_SPK004-802.370-804.022.wav)
呃 also known as香菜  (G0005_S0001_0_SPK004-804.432-806.759.wav)
呃来来香菜  (G0005_S0001_0_SPK004-808.190-809.980.wav)
一到香菜湖南菜  (G0005_S0001_0_SPK004-810.260-811.990.wav)
呃 too many food and there more  (G0005_S0001_0_SPK004-812.253-815.950.wav)
 most best than四川 food他们比穿菜要辣很多  (G0005_S0001_0_SPK004-816.290-820.540.wav)
然后  (G0005_S0001_0_SPK004-822.500-823.060.wav)
也  (G0005_S0001_0_SPK004-823.970-824.470.wav)
 i loves be food我喜欢吃辣  (G0005_S0001_0_SPK004-825.439-827.514.wav)
然后香菜的很多菜会放很多小米小米啦  (G0005_S0001_0_SPK004-827.960-831.520.wav)
遇到 those呃  (G0005_S0001_0_SPK004-832.070-833.905.wav)
 tiny tips of  (G0005_S0001_0_SPK004-834.209-837.022.wav)
呃 sppeccy  (G0005_S0001_0_SPK004-837.470-839.260.wav)
嗯就是一些辣椒的小块儿小米啦  (G0005_S0001_0_SPK004-840.410-843.010.wav)
嗯然后 taste very bucy  (G0005_S0001_0_SPK004-844.010-846.160.wav)
吃起来非常辣我感觉口感非常的爽 you know so  (G0005_S0001_0_SPK004-846.620-850.600.wav)
时候有  (G0005_S0001_0_SPK004-851.236-852.280.wav)
所以呢 so powerful  (G0005_S0001_0_SPK004-852.950-854.590.wav)
嗯  (G0005_S0001_0_SPK004-858.020-858.610.wav)
嗯  (G0005_S0001_0_SPK004-860.960-861.550.wav)
呃  (G0005_S0001_0_SPK004-865.580-866.380.wav)
叫什么 great math think  (G0005_S0001_0_SPK004-866.600-869.080.wav)
呃  (G0005_S0001_0_SPK004-869.570-870.250.wav)
 great man thinks  (G0005_S0001_0_SPK004-870.912-872.428.wav)
有的英雄所见略同嘛 in chinese  (G0005_S0001_0_SPK004-872.809-875.770.wav)
也  (G0005_S0001_0_SPK004-877.340-877.888.wav)
呃  (G0005_S0001_0_SPK004-878.240-878.860.wav)
 whenever is ok  (G0005_S0001_0_SPK004-881.406-882.350.wav)
 easy my sister  (G0005_S0001_0_SPK004-883.100-884.525.wav)
 easy白不  (G0005_S0001_0_SPK004-885.530-886.599.wav)
 yes ok  (G0005_S0001_0_SPK004-889.550-890.827.wav)
用到因香菜嗯 many food运动就是很多食物它是用猪油炒成炒出来的  (G0005_S0001_0_SPK004-891.830-898.903.wav)
 it's cooked by using呃 the all of  (G0005_S0001_0_SPK004-899.510-903.880.wav)
 a plank  (G0005_S0001_0_SPK004-904.310-905.172.wav)
 pick  (G0005_S0001_0_SPK004-906.027-906.640.wav)
 yes  (G0005_S0001_0_SPK004-907.009-907.600.wav)
 yes  (G0005_S0001_0_SPK004-908.030-908.620.wav)
 pick o you呃 our呃 all you of pok or your in park  (G0005_S0001_0_SPK004-909.860-914.560.wav)
呃 so  (G0005_S0001_0_SPK004-915.170-916.270.wav)
 it it is soon  (G0005_S0001_0_SPK004-916.638-918.520.wav)
 so nice  (G0005_S0001_0_SPK004-919.017-920.026.wav)
 and smile so great闻起来特别特别像  (G0005_S0001_0_SPK004-920.457-924.460.wav)
然后  (G0005_S0001_0_SPK004-925.940-926.770.wav)
对然后又非常下犯呃 especially with rice  (G0005_S0001_0_SPK004-927.110-930.995.wav)
 you eat together and you will feel so  (G0005_S0001_0_SPK004-931.790-935.140.wav)
收一种 happiness  (G0005_S0001_0_SPK004-935.878-937.316.wav)
瘦海北  (G0005_S0001_0_SPK004-937.708-938.503.wav)
 yes it呃 feel呃 it it才行  (G0005_S0001_0_SPK004-946.220-951.670.wav)
 it the great  (G0005_S0001_0_SPK004-952.040-953.331.wav)
嗯  (G0005_S0001_0_SPK004-953.750-954.370.wav)
 variety food  (G0005_S0001_0_SPK004-954.980-956.547.wav)
嗯是川ff  (G0005_S0001_0_SPK004-959.240-960.517.wav)
怀阳赋的  (G0005_S0001_0_SPK004-960.860-961.958.wav)
呃月辅的 can homeny food  (G0005_S0001_0_SPK004-964.040-966.040.wav)
 we can also see that广东菜 can toldy food  (G0005_S0001_0_SPK004-966.830-970.570.wav)
嗯  (G0005_S0001_0_SPK004-972.350-972.850.wav)
嗯呃鲁菜  (G0005_S0001_0_SPK004-974.300-975.640.wav)
呃山东 food  (G0005_S0001_0_SPK004-975.950-977.170.wav)
嗯  (G0005_S0001_0_SPK004-980.000-980.560.wav)
但的  (G0005_S0001_0_SPK004-981.260-982.260.wav)
嗯  (G0005_S0001_0_SPK004-983.147-983.603.wav)
嗯  (G0005_S0001_0_SPK004-985.460-985.960.wav)
呃 not  (G0005_S0001_0_SPK004-987.170-988.060.wav)
四川ful的 yes it' belong to川 food  (G0005_S0001_0_SPK004-989.992-992.791.wav)
 it's kind of是全服的  (G0005_S0001_0_SPK004-994.481-995.890.wav)
 and how to say that嗯  (G0005_S0001_0_SPK004-996.318-999.276.wav)
呃  (G0005_S0001_0_SPK004-1001.540-1002.467.wav)
香菜也是湖南住的  (G0005_S0001_0_SPK004-1002.710-1004.650.wav)
 and好手西北菜  (G0005_S0001_0_SPK004-1010.300-1012.660.wav)
啊也是  (G0005_S0001_0_SPK004-1014.290-1015.014.wav)
嗯 the north we food  (G0005_S0001_0_SPK004-1017.050-1020.080.wav)
嗯 like大盘机  (G0005_S0001_0_SPK004-1021.670-1023.340.wav)
的逼格  (G0005_S0001_0_SPK004-1023.770-1025.200.wav)
 plate of chicken  (G0005_S0001_0_SPK004-1025.537-1027.180.wav)
来可烤羊肉  (G0005_S0001_0_SPK004-1028.780-1030.690.wav)
呃 lamp  (G0005_S0001_0_SPK004-1031.240-1032.280.wav)
 also great food  (G0005_S0001_0_SPK004-1033.819-1035.640.wav)
嗯  (G0005_S0001_0_SPK004-1035.858-1036.262.wav)
 so i love chinese food better than weom food because chinese food is so  (G0005_S0001_0_SPK004-1036.819-1042.771.wav)
 you know so many kind food you can choose  (G0005_S0001_0_SPK004-1043.420-1046.526.wav)
对  (G0005_S0001_0_SPK004-1050.950-1051.510.wav)
嗯  (G0005_S0001_0_SPK004-1054.400-1054.960.wav)
嗯  (G0005_S0001_0_SPK004-1059.080-1059.670.wav)
 it's always  (G0005_S0001_0_SPK004-1060.970-1062.010.wav)
呃 the de food food desert you can you can called you can called it yes  (G0005_S0001_0_SPK004-1063.670-1068.700.wav)
嗯  (G0005_S0001_0_SPK004-1070.141-1070.616.wav)
可  (G0005_S0001_0_SPK004-1071.017-1071.453.wav)
 england  (G0005_S0001_0_SPK004-1072.876-1073.680.wav)
嗯  (G0005_S0001_0_SPK004-1074.290-1074.820.wav)
嗯 like加鱼薯条  (G0005_S0001_0_SPK004-1076.930-1078.405.wav)
 friends  (G0005_S0001_0_SPK004-1080.377-1081.150.wav)
嗯  (G0005_S0001_0_SPK004-1081.820-1082.350.wav)
一个呢  (G0005_S0001_0_SPK004-1083.326-1083.940.wav)
嗯  (G0005_S0001_0_SPK004-1084.340-1084.840.wav)
呃 yes stling stling is  (G0005_S0001_0_SPK004-1088.150-1090.090.wav)
 the most rivers tennese food  (G0005_S0001_0_SPK004-1090.520-1092.460.wav)
呃 maybe maybe  (G0005_S0001_0_SPK004-1092.770-1094.410.wav)
饺子在出名度确实太很确实很高  (G0005_S0001_0_SPK004-1098.307-1101.754.wav)
嗯  (G0005_S0001_0_SPK004-1109.300-1109.890.wav)
 spring festival  (G0005_S0001_0_SPK004-1110.260-1111.420.wav)
嗯  (G0005_S0001_0_SPK004-1115.540-1116.160.wav)
嗯  (G0005_S0001_0_SPK004-1118.540-1119.040.wav)
 yes  (G0005_S0001_0_SPK004-1120.437-1121.134.wav)
 yes  (G0005_S0001_0_SPK004-1122.920-1123.757.wav)
还有那些  (G0005_S0001_0_SPK004-1124.330-1125.070.wav)
 yes s ping a a leave peaceful  (G0005_S0001_0_SPK004-1126.310-1128.852.wav)
 and  (G0005_S0001_0_SPK004-1129.580-1130.560.wav)
嗯用的 with with our family members together  (G0005_S0001_0_SPK004-1130.810-1134.291.wav)
 we have dumpling together  (G0005_S0001_0_SPK004-1134.770-1136.230.wav)
嗯 it's it's very you know  (G0005_S0001_0_SPK004-1137.050-1139.321.wav)
呃 the dulings also尝起来非常好吃  (G0005_S0001_0_SPK004-1139.540-1142.380.wav)
 taste good  (G0005_S0001_0_SPK004-1142.690-1143.610.wav)
嗯  (G0005_S0001_0_SPK004-1144.370-1144.930.wav)
 with with you know many  (G0005_S0001_0_SPK004-1145.420-1148.320.wav)
 different馅儿  (G0005_S0001_0_SPK004-1148.570-1149.790.wav)
 like竖馅儿的还有肉馅儿的  (G0005_S0001_0_SPK004-1150.460-1152.970.wav)
看嗯 meet with vegetables  (G0005_S0001_0_SPK004-1154.630-1158.028.wav)
诶 they also taste very good  (G0005_S0001_0_SPK004-1158.397-1160.140.wav)
 yes  (G0005_S0001_0_SPK004-1163.060-1163.680.wav)
维持  (G0005_S0001_0_SPK004-1164.140-1165.090.wav)
每次出吻的辣椒  (G0005_S0001_0_SPK004-1165.520-1167.070.wav)
呃 with蘸料  (G0005_S0001_0_SPK004-1167.740-1169.290.wav)
 so so great  (G0005_S0001_0_SPK004-1170.181-1172.170.wav)
嗯  (G0005_S0001_0_SPK004-1175.360-1175.950.wav)
嗯去算  (G0005_S0001_0_SPK004-1177.220-1178.380.wav)
尺通哦 with honor  (G0005_S0001_0_SPK004-1180.550-1182.880.wav)
嗯  (G0005_S0001_0_SPK004-1185.800-1186.527.wav)
哦 yes  (G0005_S0001_0_SPK004-1192.070-1193.357.wav)
 is  (G0005_S0001_0_SPK004-1195.789-1196.290.wav)
呃 the the honest  (G0005_S0001_0_SPK004-1196.930-1198.978.wav)
呃  (G0005_S0001_0_SPK004-1199.335-1200.093.wav)
 as long as as seem seem as tall as people  (G0005_S0001_0_SPK004-1202.250-1207.570.wav)
 yes  (G0005_S0001_0_SPK004-1212.110-1212.850.wav)
嗯 yes呃相东人 it a  (G0005_S0001_0_SPK004-1214.017-1217.620.wav)
非常非常的频繁  (G0005_S0001_0_SPK004-1217.930-1219.360.wav)
 as so often so frequently  (G0005_S0001_0_SPK004-1220.150-1223.050.wav)
 especially with dumplings they it  (G0005_S0001_0_SPK004-1223.870-1226.620.wav)
呃 a dumplings is they it a dumpling and they it  (G0005_S0001_0_SPK004-1227.020-1231.180.wav)
啊念 together  (G0005_S0001_0_SPK004-1232.120-1233.399.wav)
也  (G0005_S0001_0_SPK004-1234.490-1234.976.wav)
啊啊  (G0005_S0001_0_SPK004-1238.990-1239.610.wav)
z will it with honest together  (G0005_S0001_0_SPK004-1239.830-1242.640.wav)
 at the same  (G0005_S0001_0_SPK004-1243.430-1244.410.wav)
可以搭配 every c  (G0005_S0001_0_SPK004-1248.200-1249.431.wav)
 yes and they also it打算  (G0005_S0001_0_SPK004-1251.207-1253.443.wav)
呃打算  (G0005_S0001_0_SPK004-1255.190-1256.500.wav)
 yes it's taste so powerful  (G0005_S0001_0_SPK004-1260.710-1262.950.wav)
呃 when you when you it it a gar in your mouth you your mouth just like on fire  (G0005_S0001_0_SPK004-1263.840-1270.210.wav)
就跟着火了一样的那种感觉  (G0005_S0001_0_SPK004-1270.370-1272.400.wav)
嗯  (G0005_S0001_0_SPK004-1273.760-1274.290.wav)
而且山东人太喜欢吃从和算了  (G0005_S0001_0_SPK004-1274.710-1277.990.wav)
嗯  (G0005_S0001_0_SPK004-1286.000-1286.650.wav)
嗯  (G0005_S0001_0_SPK004-1289.990-1290.610.wav)
 can't leave without  (G0005_S0001_0_SPK004-1291.790-1292.986.wav)
从合算  (G0005_S0001_0_SPK004-1293.560-1294.900.wav)
 yes  (G0005_S0001_0_SPK004-1300.250-1300.900.wav)
 black think呃充江算  (G0005_S0001_0_SPK004-1301.646-1304.080.wav)
还有 gar  (G0005_S0001_0_SPK004-1304.720-1305.760.wav)
呃  (G0005_S0001_0_SPK004-1306.081-1307.036.wav)
奥跌 below is good to your health  (G0005_S0001_0_SPK004-1307.360-1310.166.wav)
 you are right  (G0005_S0001_0_SPK004-1313.480-1314.250.wav)
嗯  (G0005_S0001_0_SPK004-1318.340-1318.900.wav)
呃  (G0005_S0001_0_SPK004-1323.050-1323.700.wav)
 like  (G0005_S0001_0_SPK004-1324.760-1325.590.wav)
嗯  (G0005_S0001_0_SPK004-1326.470-1327.180.wav)
嗯  (G0005_S0001_0_SPK004-1330.100-1330.630.wav)
嗯  (G0005_S0001_0_SPK004-1332.440-1333.060.wav)
对  (G0005_S0001_0_SPK004-1336.730-1337.350.wav)
对对对它可以消除细菌消除严政  (G0005_S0001_0_SPK004-1338.890-1343.193.wav)
 kills those呃  (G0005_S0001_0_SPK004-1343.692-1347.010.wav)
呃 the kill of vis  (G0005_S0001_0_SPK004-1347.950-1349.818.wav)
对  (G0005_S0001_0_SPK004-1351.940-1352.440.wav)
所以  (G0005_S0001_0_SPK004-1352.720-1353.520.wav)
嗯  (G0005_S0001_0_SPK004-1353.864-1354.888.wav)
有  (G0005_S0001_0_SPK004-1355.282-1355.912.wav)
 it gar frequently often it gar you know  (G0005_S0001_0_SPK004-1356.156-1360.642.wav)
嗯嗯非常对健康很有帮助 it's very help for your health  (G0005_S0001_0_SPK004-1361.049-1364.980.wav)
呃 yes end of  (G0005_S0001_0_SPK004-1368.740-1369.900.wav)
呃用的斗争呃来可 the been juice  (G0005_S0001_0_SPK004-1373.900-1377.670.wav)
嗯  (G0005_S0001_0_SPK004-1381.490-1381.990.wav)
嗯 and you want to you want to have a drink  (G0005_S0001_0_SPK004-1385.210-1388.217.wav)
嗯  (G0005_S0001_0_SPK004-1393.400-1393.960.wav)
嗯  (G0005_S0001_0_SPK004-1396.160-1396.720.wav)
呃  (G0005_S0001_0_SPK004-1397.690-1398.400.wav)
啊就是对对对 i i know i know  (G0005_S0001_0_SPK004-1398.950-1401.820.wav)
我知道那个斗汁儿但是呃我我我我不一定我也没喝过斗汁  (G0005_S0001_0_SPK004-1402.010-1407.250.wav)
就是 i i never drink逗这儿  (G0005_S0001_0_SPK004-1407.947-1410.520.wav)
呃 so i don't know what do就是 taste like  (G0005_S0001_0_SPK004-1411.130-1414.008.wav)
呃 is it familiar with is it  (G0005_S0001_0_SPK004-1416.140-1419.751.wav)
这次 like可豆浆  (G0005_S0001_0_SPK004-1420.100-1421.620.wav)
 they are sameing他们是一个东西吗  (G0005_S0001_0_SPK004-1424.561-1427.331.wav)
嗯  (G0005_S0001_0_SPK004-1432.430-1432.798.wav)
嗯  (G0005_S0001_0_SPK004-1434.980-1435.540.wav)
嗯  (G0005_S0001_0_SPK004-1436.160-1436.799.wav)
嗯  (G0005_S0001_0_SPK004-1438.250-1438.780.wav)
 have different waits to make it  (G0005_S0001_0_SPK004-1442.382-1444.390.wav)
嗯  (G0005_S0001_0_SPK004-1449.260-1449.820.wav)
 many differences  (G0005_S0001_0_SPK004-1450.100-1451.140.wav)
嗯也是  (G0005_S0001_0_SPK004-1452.680-1453.777.wav)
嗯  (G0005_S0001_0_SPK004-1456.460-1456.888.wav)
嗯  (G0005_S0001_0_SPK004-1458.050-1458.439.wav)
嗯 yes safe food广东 canny safe food  (G0005_S0001_0_SPK004-1460.948-1464.461.wav)
呃 do you呃 you like hot about you you like火锅你喜欢吃火锅是吧  (G0005_S0001_0_SPK004-1465.340-1470.370.wav)
嗯你吃过北京火锅吗还比如  (G0005_S0001_0_SPK004-1470.971-1473.356.wav)
 have you ever eat beijing hotport  (G0005_S0001_0_SPK004-1473.948-1476.790.wav)
 with麻将  (G0005_S0001_0_SPK004-1480.807-1482.211.wav)
 and九菜花儿  (G0005_S0001_0_SPK004-1482.827-1484.368.wav)
 and戒able啊  (G0005_S0001_0_SPK004-1484.570-1485.670.wav)
我  (G0005_S0001_0_SPK004-1488.230-1489.000.wav)
 terrible啊 terrible  (G0005_S0001_0_SPK004-1490.450-1492.816.wav)
嗯  (G0005_S0001_0_SPK004-1499.750-1500.340.wav)
也 must be spenscy哈  (G0005_S0001_0_SPK004-1504.310-1506.220.wav)
假如我  (G0005_S0001_0_SPK004-1507.580-1508.230.wav)
灵魂如果火锅不拉的话可能就没有灵魂的话  (G0005_S0001_0_SPK004-1508.870-1511.830.wav)
 yes  (G0005_S0001_0_SPK004-1513.610-1514.350.wav)
嗯  (G0005_S0001_0_SPK004-1518.791-1519.096.wav)
呃 two turn you know is a head of of rabbit  (G0005_S0001_0_SPK004-1522.040-1525.646.wav)
啊  (G0005_S0001_0_SPK004-1527.410-1527.970.wav)
嗯  (G0005_S0001_0_SPK004-1530.140-1530.730.wav)
嗯  (G0005_S0001_0_SPK004-1534.130-1534.720.wav)
 can leave can leave四川 with a for body  (G0005_S0001_0_SPK004-1537.400-1541.866.wav)
 yeah right  (G0005_S0001_0_SPK004-1544.098-1544.911.wav)
 it means that四川 like to eat rabbit特别喜欢吃土肉  (G0005_S0001_0_SPK004-1546.820-1552.480.wav)
我见过很多穿菜都是用 to肉作为食材  (G0005_S0001_0_SPK004-1553.900-1557.188.wav)
对  (G0005_S0001_0_SPK004-1559.330-1559.830.wav)
 rabbit  (G0005_S0001_0_SPK004-1563.050-1563.760.wav)
 yes  (G0005_S0001_0_SPK004-1564.400-1565.050.wav)
呃 the rabit the meet rabb you know taste very very有筋道  (G0005_S0001_0_SPK004-1565.720-1572.190.wav)
嚼很有嚼劲儿  (G0005_S0001_0_SPK004-1572.738-1574.050.wav)
嗯  (G0005_S0001_0_SPK004-1579.149-1579.660.wav)
嗯  (G0005_S0001_0_SPK004-1581.080-1581.640.wav)
 not like pork  (G0005_S0001_0_SPK004-1582.460-1584.276.wav)
嗯  (G0005_S0001_0_SPK004-1584.620-1585.150.wav)
嗯  (G0005_S0001_0_SPK004-1592.090-1592.516.wav)
 yes more time than fish  (G0005_S0001_0_SPK004-1595.630-1598.020.wav)
对对对  (G0005_S0001_0_SPK004-1600.580-1601.590.wav)
对对对  (G0005_S0001_0_SPK004-1603.460-1604.470.wav)
嗯嗯  (G0005_S0001_0_SPK004-1604.840-1606.207.wav)
 yes i love to eat rabbit but you know rab so lovely  (G0005_S0001_0_SPK004-1608.928-1613.031.wav)
 what i eat ra运动哎  (G0005_S0001_0_SPK004-1613.660-1615.350.wav)
我每次去兔子的时候想起兔子那么可爱  (G0005_S0001_0_SPK004-1617.122-1619.770.wav)
就有点儿哈  (G0005_S0001_0_SPK004-1620.200-1621.300.wav)
 i feel sad  (G0005_S0001_0_SPK004-1621.760-1622.740.wav)
 always lovely  (G0005_S0001_0_SPK004-1630.000-1631.170.wav)
对他们都是很可爱  (G0005_S0001_0_SPK004-1633.130-1634.344.wav)
嗯  (G0005_S0001_0_SPK004-1635.440-1635.940.wav)
